address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Hofakkers 17,,,Grolloo,9444 XB,,275000,house,5,,,https://www.funda.nl/koop/grolloo/huis-40651211-hofakkers-17/,1981
Greveling 32,,,Annerveenschekanaal,9654 PV,,299500,house,8,,,https://www.funda.nl/koop/annerveenschekanaal/huis-40877389-greveling-32/,1965
Nieuwediep 55,,,Nieuwediep,9512 SE,,229000,house,5,,,https://www.funda.nl/koop/nieuwediep/huis-49265891-nieuwediep-55/,1905
Parkvilla (Bouwnr. 11),,,Nooitgedacht,9449 PN,,384900,house,5,,,https://www.funda.nl/koop/nooitgedacht/huis-40416767-parkvilla-bouwnr-11/,2018
Borgweg 32,,,Schipborg,9469 PJ,,1475000,house,6,,,https://www.funda.nl/koop/schipborg/huis-40495637-borgweg-32/,1990
Nijend 10,,,Anderen,9465 TR,,375000,house,7,,,https://www.funda.nl/koop/anderen/huis-49282892-nijend-10/,1906
Hofakkers 48,,,Annen,9468 EG,,189000,house,7,,,https://www.funda.nl/koop/annen/huis-40853780-hofakkers-48/,1974
Noordzijde 193,,,Gasselternijveenschemond,9515 PE,,339500,house,8,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40505432-noordzijde-193/,1995
De Hoefslag 30,,,Gasselte,9462 RZ,,665000,house,5,,,https://www.funda.nl/koop/gasselte/huis-40588052-de-hoefslag-30/,2013
Nieuwediep 58,,,Nieuwediep,9512 SJ,,638000,house,15,,,https://www.funda.nl/koop/nieuwediep/huis-85406593-nieuwediep-58/,1899
Noordloo 2,,,Annen,9468 AW,,334000,house,5,,,https://www.funda.nl/koop/annen/huis-40889463-noordloo-2/,1994
Hofakkers 60,,,Annen,9468 EG,,215000,house,5,,,https://www.funda.nl/koop/annen/huis-40883292-hofakkers-60/,1980
Kerkbrink 7,,,Rolde,9451 AL,,445000,house,8,,,https://www.funda.nl/koop/rolde/huis-48158315-kerkbrink-7/,1900
Stationsstraat 56,,,Eext,9463 TJ,,459000,house,1,,,https://www.funda.nl/koop/eext/huis-40654860-stationsstraat-56/,1939
Semsstraat 125,,,Eexterveenschekanaal,9659 PM,,129500,house,3,,,https://www.funda.nl/koop/eexterveenschekanaal/huis-49019045-semsstraat-125/,1935
De Wolden 47,,,Annen,9468 CB,,289000,house,5,,,https://www.funda.nl/koop/annen/huis-40718009-de-wolden-47/,1956
Dobbe 2,,,Annen,9468 GL,,179000,house,4,,,https://www.funda.nl/koop/annen/huis-40806807-dobbe-2/,1981
Zuidlaarderweg 22,,,Annen,9468 AE,,439000,house,4,,,https://www.funda.nl/koop/annen/huis-40636909-zuidlaarderweg-22/,1989
Vlouwakkers 9,,,Annen,9468 HE,,159000,house,5,,,https://www.funda.nl/koop/annen/huis-40863504-vlouwakkers-9/,1986
De Hoorns 24,,,Rolde,9451 DB,,289000,house,5,,,https://www.funda.nl/koop/rolde/huis-40886405-de-hoorns-24/,2002
Zuid-es 13,,,Gieten,9461 GJ,,149500,house,5,,,https://www.funda.nl/koop/gieten/huis-40602315-zuid-es-13/,1952
Broeder Sylvesterlaan (Bouwnr. 5),,,Nooitgedacht,9449 PN,,247900,house,6,,,https://www.funda.nl/koop/nooitgedacht/huis-40424413-broeder-sylvesterlaan-bouwnr-5/,2018
Broeder Sylvesterlaan (Bouwnr. 6),,,Nooitgedacht,9449 PN,,247900,house,6,,,https://www.funda.nl/koop/nooitgedacht/huis-40424414-broeder-sylvesterlaan-bouwnr-6/,2018
Broeder Sylvesterlaan (Bouwnr. 3),,,Nooitgedacht,9449 PN,,248900,house,6,,,https://www.funda.nl/koop/nooitgedacht/huis-40424401-broeder-sylvesterlaan-bouwnr-3/,2018
Amen 74,,,Amen,9446 PD,,499000,house,7,,,https://www.funda.nl/koop/amen/huis-40616989-amen-74/,1952
Zandvoort 1,,,Gieten,9461 TA,,439000,house,7,,,https://www.funda.nl/koop/gieten/huis-40855223-zandvoort-1/,1900
Zuidlaarderweg 43,,,Annen,9468 AB,,325000,house,5,,,https://www.funda.nl/koop/annen/huis-40870555-zuidlaarderweg-43/,1968
Noordzijde 311,,,Gasselternijveenschemond,9515 PH,,85000,house,4,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40412890-noordzijde-311/,1931
Voetakkers 12,,,Annen,9468 ET,,239000,house,4,,,https://www.funda.nl/koop/annen/huis-40818202-voetakkers-12/,1976
De Hoorns 58,,,Rolde,9451 DB,,480000,house,7,,,https://www.funda.nl/koop/rolde/huis-40548647-de-hoorns-58/,2004
Dorpsstraat 92,,,Eexterveen,9658 PE,,339000,house,5,,,https://www.funda.nl/koop/eexterveen/huis-86800569-dorpsstraat-92/,1898
Dorpsstraat 81,,,Eexterveen,9658 PJ,,215000,house,6,,,https://www.funda.nl/koop/eexterveen/huis-86803137-dorpsstraat-81/,1850
Grolloërstraat 16 A,,,Rolde,9451 KB,,117500,apartment,3,,,https://www.funda.nl/koop/rolde/appartement-48623224-grolloerstraat-16-a/,1958
Asserstraat 20,,,Gieten,9461 GC,,189000,house,4,,,https://www.funda.nl/koop/gieten/huis-47185010-asserstraat-20/,2007
Landschrijverlaan 6,,,Rolde,9451 KT,,379000,house,4,,,https://www.funda.nl/koop/rolde/huis-47291815-landschrijverlaan-6/,1992
Semsstraat 33,,,Eexterveenschekanaal,9659 PJ,,149500,house,4,,,https://www.funda.nl/koop/eexterveenschekanaal/huis-48478013-semsstraat-33/,1952
Tuinstraat 64,,,Gasselternijveen,9514 AM,,189500,house,6,,,https://www.funda.nl/koop/gasselternijveen/huis-49601045-tuinstraat-64/,1945
Grote Brink 33,,,Rolde,9451 BP,,475000,house,8,,,https://www.funda.nl/koop/rolde/huis-85718303-grote-brink-33/,1937
Het Binnenveld 2,,,Grolloo,9444 TJ,,525000,house,7,,,https://www.funda.nl/koop/grolloo/huis-85779189-het-binnenveld-2/,1928
Semsstraat 97,,,Eexterveenschekanaal,9659 PL,,239500,house,6,,,https://www.funda.nl/koop/eexterveenschekanaal/huis-49332777-semsstraat-97/,1935
