address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Maasgaard 2-onder-1-kapwoning bouwnummer 1,,,Wijk-en-Aalburg,4261 BE,,312000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40486870-maasgaard-2-onder-1-kapwoning-bouwnummer-1/,2018
Weteringshof 1,,,Genderen,4265 JV,,419500,house,7,,,https://www.funda.nl/koop/genderen/huis-40813497-weteringshof-1/,2005
Gansoyen 34,,,Drongelen,4267 EX,,745000,house,6,,,https://www.funda.nl/koop/drongelen/huis-40540568-gansoyen-34/,1952
Hillsestraat 25,,,Babyloniënbroek,4269 VH,,397500,house,7,,,https://www.funda.nl/koop/babylonienbroek/huis-40540796-hillsestraat-25/,1912
Weidestraat 11,,,Genderen,4265 JP,,399000,house,7,,,https://www.funda.nl/koop/genderen/huis-40667704-weidestraat-11/,1977
Raadhuisstraat kavel 1 met woning,,,Eethen,4266 EA,,452500,house,4,,,https://www.funda.nl/koop/eethen/huis-40886191-raadhuisstraat-kavel-1-met-woning/,2019
de Korten Bruggert 25,,,Eethen,4266 ER,,264000,house,4,,,https://www.funda.nl/koop/eethen/huis-49234443-de-korten-bruggert-25/,1987
Bouwnummer (Bouwnr. 2),,,Veen,4264 VB,,220000,house,4,,,https://www.funda.nl/koop/veen/huis-40894377-bouwnummer-bouwnr-2/,2019
Bouwnummer (Bouwnr. 3),,,Veen,4264 VB,,220000,house,4,,,https://www.funda.nl/koop/veen/huis-40894378-bouwnummer-bouwnr-3/,2019
Polstraat 69 B,,,Wijk-en-Aalburg,4261 BR,,509000,house,8,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-85782605-polstraat-69-b/,1935
Bollenhoef,,,Eethen,4266 EW,,249000,house,6,,,https://www.funda.nl/koop/eethen/huis-86034459-bollenhoef/,2019
Anjelierstraat 9,,,Wijk-en-Aalburg,4261 CJ,,262000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-84715888-anjelierstraat-9/,1978
Aalburgsestraat 14,,,Wijk-en-Aalburg,4261 BK,,239000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40449135-aalburgsestraat-14/,1948
Veldstraat 24,,,Wijk-en-Aalburg,4261 TB,,589000,house,4,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86848995-veldstraat-24/,1995
Molenhof 37,,,Wijk-en-Aalburg,4261 XC,,350000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86927409-molenhof-37/,1996
De Bruijnstraat 9 a,,,Veen,4264 VE,,250000,house,5,,,https://www.funda.nl/koop/veen/huis-86239921-de-bruijnstraat-9-a/,2014
Bouwnummer (Bouwnr. 3),,,Veen,4264 VA,,230000,house,3,,,https://www.funda.nl/koop/veen/huis-40408005-bouwnummer-bouwnr-3/,2018
Bouwnummer (Bouwnr. 6),,,Veen,4264 VA,,279000,house,3,,,https://www.funda.nl/koop/veen/huis-40716855-bouwnummer-bouwnr-6/,2018
Bouwnummer (Bouwnr. 2),,,Veen,4264 VA,,257500,house,3,,,https://www.funda.nl/koop/veen/huis-40408003-bouwnummer-bouwnr-2/,2018
Bouwnummer (Bouwnr. 4),,,Veen,4264 VA,,265000,house,3,,,https://www.funda.nl/koop/veen/huis-40408004-bouwnummer-bouwnr-4/,2018
Uithof 6,,,Wijk-en-Aalburg,4261 LP,,336000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86055376-uithof-6/,2000
Hoefstraat 2,,,Genderen,4265 HV,,325000,house,5,,,https://www.funda.nl/koop/genderen/huis-49637590-hoefstraat-2/,1964
Kerkverreweide 17,,,Wijk-en-Aalburg,4261 LK,,399000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-49313885-kerkverreweide-17/,1997
Ossenwaard 14,,,Wijk-en-Aalburg,4261 MB,,200000,apartment,3,,,https://www.funda.nl/koop/wijk-en-aalburg/appartement-40895487-ossenwaard-14/,2006
Bouwnummer (Bouwnr. 7),,,Veen,4264 VA,,283500,house,3,,,https://www.funda.nl/koop/veen/huis-40716856-bouwnummer-bouwnr-7/,2018
Bouwnummer (Bouwnr. 9),,,Veen,4264 VB,,385000,house,4,,,https://www.funda.nl/koop/veen/huis-40894385-bouwnummer-bouwnr-9/,2019
Bouwnummer (Bouwnr. 1),,,Veen,4264 VB,,262500,house,4,,,https://www.funda.nl/koop/veen/huis-40894375-bouwnummer-bouwnr-1/,2019
Bouwnummer (Bouwnr. 4),,,Veen,4264 VB,,267500,house,4,,,https://www.funda.nl/koop/veen/huis-40894376-bouwnummer-bouwnr-4/,2019
Bouwnummer (Bouwnr. 8),,,Veen,4264 VB,,320000,house,4,,,https://www.funda.nl/koop/veen/huis-40894372-bouwnummer-bouwnr-8/,2019
Bouwnummer (Bouwnr. 10),,,Veen,4264 VB,,320000,house,4,,,https://www.funda.nl/koop/veen/huis-40894383-bouwnummer-bouwnr-10/,2019
Bouwnummer (Bouwnr. 11),,,Veen,4264 VB,,320000,house,4,,,https://www.funda.nl/koop/veen/huis-40894384-bouwnummer-bouwnr-11/,2019
Vroonhoeve 19,,,Wijk-en-Aalburg,4261 LC,,275000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40816423-vroonhoeve-19/,1996
Hubertus Schreudershof 43,,,Veen,4264 RG,,459000,house,7,,,https://www.funda.nl/koop/veen/huis-47059458-hubertus-schreudershof-43/,1999
den Oudert 46,,,Wijk-en-Aalburg,4261 NC,,325000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-85401944-den-oudert-46/,1900
Aalburgsestraat 43,,,Wijk-en-Aalburg,4261 BJ,,335000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-49059144-aalburgsestraat-43/,1960
Dorpsstraat 13,,,Meeuwen,4268 GE,,419000,house,5,,,https://www.funda.nl/koop/meeuwen/huis-85667657-dorpsstraat-13/,1906
Eindsestraat 16,,,Drongelen,4267 GX,,689000,house,4,,,https://www.funda.nl/koop/drongelen/huis-40677246-eindsestraat-16/,1971
Tempelierstraat 9,,,Wijk-en-Aalburg,4261 DD,,259500,house,7,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40585137-tempelierstraat-9/,1977
Hillsestraat 23,,,Babyloniënbroek,4269 VH,,850000,house,12,,,https://www.funda.nl/koop/babylonienbroek/huis-47966751-hillsestraat-23/,1875
Broeksestraat 49,,,Babyloniënbroek,4269 VE,,695000,house,5,,,https://www.funda.nl/koop/babylonienbroek/huis-47060742-broeksestraat-49/,1975
Raadhuisstraat 8,,,Eethen,4266 EB,,469000,house,6,,,https://www.funda.nl/koop/eethen/huis-40590569-raadhuisstraat-8/,2002
Grote Kerkstraat 71,,,Wijk-en-Aalburg,4261 BC,,695000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-49544796-grote-kerkstraat-71/,1906
Maasdijk 343,,,Veen,4264 AN,,800000,house,10,,,https://www.funda.nl/koop/veen/huis-40854637-maasdijk-343/,1632
Maasdijk 96 A,,,Veen,4264 AP,,398000,house,5,,,https://www.funda.nl/koop/veen/huis-40443239-maasdijk-96-a/,1927
Kleibergsestraat 26,,,Eethen,4266 GC,,629000,house,9,,,https://www.funda.nl/koop/eethen/huis-86089807-kleibergsestraat-26/,1939
Maasdijk 16 a,,,Wijk-en-Aalburg,4261 AD,,995000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-85608373-maasdijk-16-a/,1992
Maasdijk 84,,,Wijk-en-Aalburg,4261 AL,,415000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86024042-maasdijk-84/,1955
Dorpsstraat 48,,,Meeuwen,4268 GJ,,445000,house,4,,,https://www.funda.nl/koop/meeuwen/huis-40657912-dorpsstraat-48/,1900
Veldstraat 19 21,,,Wijk-en-Aalburg,4261 TB,,1295000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40759893-veldstraat-19-21/,1828
Oude Weidesteeg 2,,,Eethen,4266 VE,,465000,house,7,,,https://www.funda.nl/koop/eethen/huis-49333526-oude-weidesteeg-2/,1949
Wielstraat 33,,,Veen,4264 AT,,229000,house,5,,,https://www.funda.nl/koop/veen/huis-40855571-wielstraat-33/,1985
Kerkstraat 26,,,Genderen,4265 JE,,235000,house,4,,,https://www.funda.nl/koop/genderen/huis-86234421-kerkstraat-26/,1930
Bergstraat 31,,,Wijk-en-Aalburg,4261 BW,,295000,house,3,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86115543-bergstraat-31/,1935
Oegemastraat 10,,,Genderen,4265 HN,,229000,house,5,,,https://www.funda.nl/koop/genderen/huis-86275785-oegemastraat-10/,1965
Wielstraat 51,,,Veen,4264 AT,,345000,house,3,,,https://www.funda.nl/koop/veen/huis-40899727-wielstraat-51/,1963
Veldstraat 5,,,Wijk-en-Aalburg,4261 TA,,265000,house,4,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86216810-veldstraat-5/,1957
Perzikstraat 10,,,Wijk-en-Aalburg,4261 KD,,815000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86226714-perzikstraat-10/,1900
Uithof 1,,,Wijk-en-Aalburg,4261 LN,,639000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86080227-uithof-1/,2000
Hoofdstraat 79,,,Genderen,4265 HJ,,575000,house,12,,,https://www.funda.nl/koop/genderen/huis-86235946-hoofdstraat-79/,1907
Begoniastraat 40,,,Wijk-en-Aalburg,4261 CB,,359000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40884673-begoniastraat-40/,1975
Hoofdstraat 57 C,,,Genderen,4265 HJ,,375000,house,5,,,https://www.funda.nl/koop/genderen/huis-86938960-hoofdstraat-57-c/,1994
Taxhof 5,,,Wijk-en-Aalburg,4261 ZJ,,369000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86058381-taxhof-5/,2008
Kerkverreweide 15,,,Wijk-en-Aalburg,4261 LK,,520000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86240142-kerkverreweide-15/,1997
Herrebeugel 11,,,Wijk-en-Aalburg,4261 XN,,209000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86260831-herrebeugel-11/,1980
Raadhuisstraat 7,,,Eethen,4266 EA,,334000,house,4,,,https://www.funda.nl/koop/eethen/huis-86856269-raadhuisstraat-7/,1966
Raadhuisstraat 15,,,Eethen,4266 EA,,264000,house,4,,,https://www.funda.nl/koop/eethen/huis-86247782-raadhuisstraat-15/,1958
Bagijnhof 1 en 3,,,Veen,4264 AZ,,749000,house,7,,,https://www.funda.nl/koop/veen/huis-85447797-bagijnhof-1-en-3/,1986
Nieuwe Steeg 12,,,Eethen,4266 EH,,895000,house,6,,,https://www.funda.nl/koop/eethen/huis-48177208-nieuwe-steeg-12/,1996
Maasgaard patiowoning bouwnummer 12,,,Wijk-en-Aalburg,4261 BE,,276500,house,3,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40486835-maasgaard-patiowoning-bouwnummer-12/,2018
Maasgaard patiowoning bouwnummer 13,,,Wijk-en-Aalburg,4261 BE,,279500,house,3,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40486836-maasgaard-patiowoning-bouwnummer-13/,2018
Maasdijk 75,,,Wijk-en-Aalburg,4261 AD,,595000,house,7,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86998380-maasdijk-75/,1958
Grote Kerkstraat 56,,,Wijk-en-Aalburg,4261 BE,,435000,house,8,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40522641-grote-kerkstraat-56/,1952
Kleibergsestraat 50,,,Meeuwen,4268 GC,,525000,house,8,,,https://www.funda.nl/koop/meeuwen/huis-86273872-kleibergsestraat-50/,1968
de Vlijt 64,,,Wijk-en-Aalburg,4261 XB,,215000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40877373-de-vlijt-64/,1982
de Vlijt 40,,,Wijk-en-Aalburg,4261 XB,,239000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40885709-de-vlijt-40/,1974
Kruisstraat 6,,,Drongelen,4267 EV,,649000,house,6,,,https://www.funda.nl/koop/drongelen/huis-48884067-kruisstraat-6/,2007
Witboomstraat 5 -7,,,Veen,4264 RT,,695000,house,6,,,https://www.funda.nl/koop/veen/huis-48939181-witboomstraat-5-7/,1882
Dorpsstraat 20,,,Meeuwen,4268 GJ,,275000,house,4,,,https://www.funda.nl/koop/meeuwen/huis-85728362-dorpsstraat-20/,1962
Kruisstraat 13,,,Drongelen,4267 ET,,349000,house,4,,,https://www.funda.nl/koop/drongelen/huis-85739128-kruisstraat-13/,1900
Rivelstraat 6,,,Wijk-en-Aalburg,4261 RB,,225000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86884193-rivelstraat-6/,1917
Klaverplak 3,,,Wijk-en-Aalburg,4261 TE,,798000,house,7,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-86976827-klaverplak-3/,1930
de Korten Bruggert 27,,,Eethen,4266 ER,,629000,house,9,,,https://www.funda.nl/koop/eethen/huis-86991006-de-korten-bruggert-27/,1989
Broeksestraat 16,,,Babyloniënbroek,4269 VA,,498000,house,6,,,https://www.funda.nl/koop/babylonienbroek/huis-40877731-broeksestraat-16/,1875
Susterenhof 19,,,Genderen,4265 JA,,395000,house,5,,,https://www.funda.nl/koop/genderen/huis-40810236-susterenhof-19/,1960
Bagijnhof 13,,,Veen,4264 AZ,,549000,house,5,,,https://www.funda.nl/koop/veen/huis-49942954-bagijnhof-13/,1979
Maasgaard patiowoning bouwnummer 10,,,Wijk-en-Aalburg,4261 BE,,302500,house,3,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40486820-maasgaard-patiowoning-bouwnummer-10/,2018
de Vlijt 88,,,Wijk-en-Aalburg,4261 XB,,255000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40481623-de-vlijt-88/,1989
Wilhelminastraat 30,,,Veen,4264 SH,,415000,house,5,,,https://www.funda.nl/koop/veen/huis-40693279-wilhelminastraat-30/,1976
Maasdijk 289,,,Wijk-en-Aalburg,4261 AL,,395000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40624763-maasdijk-289/,1974
Oude Kerkstraat 12,,,Wijk-en-Aalburg,4261 BL,,1045000,house,15,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40711209-oude-kerkstraat-12/,1830
Korenmolen 10,,,Meeuwen,4268 GW,,249000,house,5,,,https://www.funda.nl/koop/meeuwen/huis-40863853-korenmolen-10/,1991
Herrebeugel 42,,,Wijk-en-Aalburg,4261 XL,,209000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40881077-herrebeugel-42/,1978
Grote Kerkstraat 50,,,Wijk-en-Aalburg,4261 BE,,345000,house,4,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40803731-grote-kerkstraat-50/,1890
Broeksestraat 20,,,Babyloniënbroek,4269 VA,,369000,house,5,,,https://www.funda.nl/koop/babylonienbroek/huis-49348161-broeksestraat-20/,1956
Voompad 3,,,Genderen,4265 HX,,225000,house,4,,,https://www.funda.nl/koop/genderen/huis-40812259-voompad-3/,1860
van der Beekstraat 5,,,Genderen,4265 HS,,225000,house,5,,,https://www.funda.nl/koop/genderen/huis-40401075-van-der-beekstraat-5/,1974
Engelsestoof 11,,,Wijk-en-Aalburg,4261 RA,,435000,house,6,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40651206-engelsestoof-11/,1956
Veldstraat 67 B,,,Wijk-en-Aalburg,4261 TD,,1350000,house,10,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40533083-veldstraat-67-b/,2009
Wilgenstraat 9,,,Eethen,4266 EE,,217500,house,4,,,https://www.funda.nl/koop/eethen/huis-40622359-wilgenstraat-9/,1967
de Wiek 26,,,Wijk-en-Aalburg,4261 XR,,215000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40809872-de-wiek-26/,1982
Grotestraat 12,,,Veen,4264 RL,,205000,house,4,,,https://www.funda.nl/koop/veen/huis-40882429-grotestraat-12/,1920
Dorpsstraat 27,,,Meeuwen,4268 GE,,225000,house,4,,,https://www.funda.nl/koop/meeuwen/huis-40880413-dorpsstraat-27/,1957
Hoofdveld 18,,,Eethen,4266 EC,,160000,house,5,,,https://www.funda.nl/koop/eethen/huis-40889675-hoofdveld-18/,1968
de Galerij 12,,,Wijk-en-Aalburg,4261 DG,,345000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-49311456-de-galerij-12/,1990
Langestraat 26,,,Wijk-en-Aalburg,4261 AB,,269000,house,5,,,https://www.funda.nl/koop/wijk-en-aalburg/huis-40726425-langestraat-26/,1955
Schmitzstraat 33,,,Veen,4264 RB,,325000,house,4,,,https://www.funda.nl/koop/veen/huis-40537352-schmitzstraat-33/,1970
Burgemeester van Dijkstraat 13,,,Veen,4264 RZ,,329000,house,4,,,https://www.funda.nl/koop/veen/huis-40859143-burgemeester-van-dijkstraat-13/,2005
Eindsestraat 15,,,Drongelen,4267 GX,,598000,house,4,,,https://www.funda.nl/koop/drongelen/huis-40886779-eindsestraat-15/,1950
Grotestraat 4,,,Veen,4264 RL,,695000,house,6,,,https://www.funda.nl/koop/veen/huis-49366668-grotestraat-4/,1850
