address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Ketelhuis 4,,,Aalsmeer,1431 LT,,485000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40817701-ketelhuis-4/,1999
Uiterweg 272,,,Aalsmeer,1431 AV,,860000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40511169-uiterweg-272/,1980
Uiterweg 154 WS 1,,,Aalsmeer,1431 AS,,695000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-49130159-uiterweg-154-ws-1/,2005
Uiterweg 174,,,Aalsmeer,1431 AS,,1595000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-49323634-uiterweg-174/,1638
Fuchsiastraat 20,,,Aalsmeer,1431 RB,,539000,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-86192383-fuchsiastraat-20/,2004
Oosteinderweg 451,,,Aalsmeer,1432 BJ,,2250000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-49270758-oosteinderweg-451/,2002
Lisdoddestraat 15,,,Kudelstaart,1433 WG,,394500,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40879398-lisdoddestraat-15/,2008
Ringvaartzijde 54,,,Aalsmeer,1431 CM,,875000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-86099153-ringvaartzijde-54/,1980
Mendelstraat 103,,,Aalsmeer,1431 KP,,215000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-86053067-mendelstraat-103/,1961
Linksbuitenstraat 22,,,Kudelstaart,1433 DR,,339000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-86948543-linksbuitenstraat-22/,2008
Praamplein 1,,,Aalsmeer,1431 CW,,525000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-86017436-praamplein-1/,1991
Oosteinderweg 288,,,Aalsmeer,1432 BD,,659000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-85404257-oosteinderweg-288/,1936
Oosteinderweg 63,,,Aalsmeer,1432 AE,,319000,house,3,,,https://www.funda.nl/koop/aalsmeer/huis-86046285-oosteinderweg-63/,1930
Citroenvlinderstraat 64,,,Aalsmeer,1432 MG,,560000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40865550-citroenvlinderstraat-64/,2006
Oosteinderweg 553 A,,,Aalsmeer,1432 BL,,469000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86221689-oosteinderweg-553-a/,1991
Geraniumstraat 67,,,Aalsmeer,1431 ST,,219000,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-86239578-geraniumstraat-67/,1965
Lijndraaierhof 16,,,Aalsmeer,1431 DC,,485000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-86235679-lijndraaierhof-16/,2013
Marconistraat 6,,,Kudelstaart,1433 KK,,249000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-86236638-marconistraat-6/,1984
Atalantalaan 34,,,Aalsmeer,1432 NJ,,475000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-86252315-atalantalaan-34/,2008
Karperstraat 47,,,Aalsmeer,1432 PC,,450000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40731694-karperstraat-47/,2008
Mijnsherenweg 94,,,Kudelstaart,1433 AV,,275000,house,6,,,https://www.funda.nl/koop/kudelstaart/huis-40883260-mijnsherenweg-94/,1974
Twijnderlaan 25,,,Aalsmeer,1431 DD,,498000,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-40462470-twijnderlaan-25/,2013
Aalsmeerderweg 161,,,Aalsmeer,1432 CK,,315000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40815164-aalsmeerderweg-161/,1917
Aalsmeerderweg 211,,,Aalsmeer,1432 CL,,350000,house,3,,,https://www.funda.nl/koop/aalsmeer/huis-86214449-aalsmeerderweg-211/,1933
Hortensialaan 56,,,Aalsmeer,1431 VD,,279000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40870974-hortensialaan-56/,1956
Clantstraat 8,,,Kudelstaart,1433 NV,,297500,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40862184-clantstraat-8/,1997
Bilderdammerweg 104,,,Kudelstaart,1433 HJ,,189000,apartment,2,,,https://www.funda.nl/koop/kudelstaart/appartement-40852237-bilderdammerweg-104/,2009
Aalsmeerderweg 44,,,Aalsmeer,1432 CR,,500000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40434678-aalsmeerderweg-44/,1965
Hornweg 68,,,Aalsmeer,1432 GN,,625000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40588403-hornweg-68/,1960
Fonteinkruidhof 1,,,Kudelstaart,1433 WD,,369000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40805456-fonteinkruidhof-1/,2008
Kudelstaartseweg 219,,,Kudelstaart,1433 GG,,425000,house,6,,,https://www.funda.nl/koop/kudelstaart/huis-40523788-kudelstaartseweg-219/,1931
Oosteinderweg 61 ws2,,,Aalsmeer,1432 AE,,895000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86023795-oosteinderweg-61-ws2/,2008
Ophelialaan 95 B,,,Aalsmeer,1431 HC,,197500,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-40897747-ophelialaan-95-b/,1960
Uiterweg 181,,,Aalsmeer,1431 AE,,1495000,house,8,,,https://www.funda.nl/koop/aalsmeer/huis-86242467-uiterweg-181/,1979
Oosteinderweg 513,,,Aalsmeer,1432 BK,,569000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40611406-oosteinderweg-513/,1980
Aalsmeerderweg 80,,,Aalsmeer,1432 CS,,359000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40739534-aalsmeerderweg-80/,1957
Zwarteweg 39,,,Aalsmeer,1431 VH,,369000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40862177-zwarteweg-39/,1930
Grundelweg 27,,,Aalsmeer,1431 CS,,199000,apartment,1,,,https://www.funda.nl/koop/aalsmeer/appartement-40717506-grundelweg-27/,2011
Kudelstaartseweg 228 A,,,Kudelstaart,1433 GR,,1200000,house,6,,,https://www.funda.nl/koop/kudelstaart/huis-49497107-kudelstaartseweg-228-a/,1972
Zwanebloemweg 68,,,Kudelstaart,1433 WE,,359000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40514395-zwanebloemweg-68/,2010
van Leeuwenhoekstraat 25,,,Kudelstaart,1433 BN,,350000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40750609-van-leeuwenhoekstraat-25/,1983
Karekietstraat 31,,,Aalsmeer,1431 WN,,295000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40860473-karekietstraat-31/,1973
Boomgaard 9,,,Aalsmeer,1432 LC,,375000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40864308-boomgaard-9/,2006
Rameaulaantje 21,,,Aalsmeer,1431 XZ,,365000,house,7,,,https://www.funda.nl/koop/aalsmeer/huis-40879366-rameaulaantje-21/,1968
Anne Frankstraat 27,,,Kudelstaart,1433 PJ,,339500,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40897605-anne-frankstraat-27/,1988
Marconistraat 30,,,Kudelstaart,1433 KK,,292500,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40808866-marconistraat-30/,1984
L.A. Braakstraat 2,,,Aalsmeer,1432 PP,,579000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-47213267-la-braakstraat-2/,2010
Machineweg 288,,,Aalsmeer,1432 EV,,649000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-86855694-machineweg-288/,1974
Zuiderpark 5,,,Kudelstaart,1433 PP,,795000,house,8,,,https://www.funda.nl/koop/kudelstaart/huis-86113910-zuiderpark-5/,2002
Werven 61,,,Aalsmeer,1431 CP,,685000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86168303-werven-61/,2008
H. Bierlingstraat 6,,,Aalsmeer,1432 PN,,499000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86108376-h-bierlingstraat-6/,2009
Duikerstraat 47,,,Aalsmeer,1432 JW,,465000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86234792-duikerstraat-47/,2008
Mercuriusstraat 52,,,Aalsmeer,1431 XD,,279000,house,7,,,https://www.funda.nl/koop/aalsmeer/huis-40804397-mercuriusstraat-52/,1974
Meertrosstraat 10,,,Aalsmeer,1431 DL,,435000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40805980-meertrosstraat-10/,2017
Calveslo 34,,,Kudelstaart,1433 NH,,469000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-86190870-calveslo-34/,1995
Maarse & Kroon Hof 49,,,Aalsmeer,1431 PC,,795000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86241862-maarse-en-kroon-hof-49/,2005
Bilderdammerweg 51,,,Kudelstaart,1433 HE,,559000,house,4,,,https://www.funda.nl/koop/kudelstaart/huis-86259994-bilderdammerweg-51/,2005
Snoekbaarsstraat 41,,,Aalsmeer,1432 PE,,469000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86251405-snoekbaarsstraat-41/,2008
Ophelialaan 163,,,Aalsmeer,1431 HD,,450000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40800095-ophelialaan-163/,1931
