address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Bevrijding 13,,,Aalten,7121 WN,,195000,house,4,,,https://www.funda.nl/koop/aalten/huis-40877855-bevrijding-13/,1975
Lichtenvoordsestraatweg 97,,,Aalten,7121 RE,,598597,house,8,,,https://www.funda.nl/koop/aalten/huis-86243169-lichtenvoordsestraatweg-97/,1907
Nijmansdijk 7,,,De-Heurne,7095 AZ,,375000,house,9,,,https://www.funda.nl/koop/de-heurne/huis-48164749-nijmansdijk-7/,1805
Koppelstraat 33,,,Bredevoort,7126 AG,,229033,house,7,,,https://www.funda.nl/koop/bredevoort/huis-85697684-koppelstraat-33/,1960
Kerkstraat 11,,,Aalten,7121 DN,,159000,house,5,,,https://www.funda.nl/koop/aalten/huis-49148578-kerkstraat-11/,1880
Aaltenseweg 34,,,Dinxperlo,7091 AG,,140000,house,6,,,https://www.funda.nl/koop/dinxperlo/huis-49247546-aaltenseweg-34/,1931
Meidoornstraat 2,,,Aalten,7121 AV,,184000,house,5,,,https://www.funda.nl/koop/aalten/huis-40446130-meidoornstraat-2/,1958
Spekkendijk 10,,,De-Heurne,7095 CE,,379000,house,8,,,https://www.funda.nl/koop/de-heurne/huis-86218217-spekkendijk-10/,1998
Beestmanweg 1,,,Aalten,7121 KX,,1395000,house,6,,,https://www.funda.nl/koop/aalten/huis-40885763-beestmanweg-1/,1876
Koopmanstraat 44,,,Aalten,7121 VV,,167044,house,4,,,https://www.funda.nl/koop/aalten/huis-86814670-koopmanstraat-44/,1958
Ormelstraat 1,,,Aalten,7121 DB,,169000,house,1,,,https://www.funda.nl/koop/aalten/huis-40455630-ormelstraat-1/,1960
Trompstraat 13,,,Aalten,7122 VT,,215000,house,5,,,https://www.funda.nl/koop/aalten/huis-40739805-trompstraat-13/,1932
Knibbelweide 76,,,Aalten,7122 TD,,215000,house,4,,,https://www.funda.nl/koop/aalten/huis-40895203-knibbelweide-76/,2003
Hogestraat 6 a,,,Aalten,7122 BV,,199991,house,10,,,https://www.funda.nl/koop/aalten/huis-85696441-hogestraat-6-a/,1940
Koopmanstraat 68,,,Aalten,7121 VV,,129129,house,4,,,https://www.funda.nl/koop/aalten/huis-85698377-koopmanstraat-68/,1958
Sniedersweide 21,,,Aalten,7123 AJ,,469000,house,8,,,https://www.funda.nl/koop/aalten/huis-85692901-sniedersweide-21/,1996
Wendelenkamp 107,,,Dinxperlo,7091 TW,,193995,house,6,,,https://www.funda.nl/koop/dinxperlo/huis-85153202-wendelenkamp-107/,1984
Warmelinckweg 8,,,Aalten,7122 JV,,199000,house,4,,,https://www.funda.nl/koop/aalten/huis-49030560-warmelinckweg-8/,2016
Sondernweg 19,,,Aalten,7122 LM,,247000,house,4,,,https://www.funda.nl/koop/aalten/huis-40548394-sondernweg-19/,1965
Admiraal de Ruyterstraat 6,,,Aalten,7122 WJ,,399000,house,7,,,https://www.funda.nl/koop/aalten/huis-49322726-admiraal-de-ruyterstraat-6/,1950
