address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Skoalikkers 21,,,Augustinusga,9284 TS,,294500,house,6,,,https://www.funda.nl/koop/augustinusga/huis-40858019-skoalikkers-21/,1990
De Achtkant 7,,,Buitenpost,9285 VH,,259000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40899954-de-achtkant-7/,1978
Middelwyk 4,,,Harkema,9281 SE,,309000,house,5,,,https://www.funda.nl/koop/harkema/huis-40825223-middelwyk-4/,1996
Casimirstrjitte 7,,,Kootstertille,9288 BN,,139500,house,6,,,https://www.funda.nl/koop/kootstertille/huis-86936752-casimirstrjitte-7/,1971
Mûntsetille 3,,,Kootstertille,9288 XE,,749000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-86230454-muntsetille-3/,1985
Koetsekralen 69,,,Harkema,9281 RS,,189500,house,6,,,https://www.funda.nl/koop/harkema/huis-40886103-koetsekralen-69/,1978
Van Harinxmastrjitte 12,,,Kootstertille,9288 BC,,158000,house,5,,,https://www.funda.nl/koop/kootstertille/huis-49786259-van-harinxmastrjitte-12/,1970
Spekloane 25,,,Boelenslaan,9233 LK,,695000,house,10,,,https://www.funda.nl/koop/boelenslaan/huis-85830802-spekloane-25/,2010
It West 2 a,,,Augustinusga,9284 KE,,289000,house,5,,,https://www.funda.nl/koop/augustinusga/huis-49157846-it-west-2-a/,1995
De Lauwers 29,,,Gerkesklooster,9873 RV,,165000,house,5,,,https://www.funda.nl/koop/gerkesklooster/huis-85298065-de-lauwers-29/,1994
Concourslaan 18,,,Buitenpost,9285 SH,,150000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86247029-concourslaan-18/,1978
Voorstraat 36,,,Buitenpost,9285 NS,,325000,house,11,,,https://www.funda.nl/koop/buitenpost/huis-83784211-voorstraat-36/,1906
Molenerf 128,,,Buitenpost,9285 VR,,205000,house,7,,,https://www.funda.nl/koop/buitenpost/huis-86079743-molenerf-128/,1980
Kerkstraat 31,,,Buitenpost,9285 TA,,125000,apartment,3,,,https://www.funda.nl/koop/buitenpost/appartement-85829268-kerkstraat-31/,1970
Friese Streek 27,,,Stroobos,9872 PP,,115000,house,4,,,https://www.funda.nl/koop/stroobos/huis-84446950-friese-streek-27/,1910
Optwizel 48 -50,,,Twijzel,9286 EE,,225000,house,7,,,https://www.funda.nl/koop/twijzel/huis-85521382-optwizel-48-50/,1905
It Noard 2,,,Surhuizum,9283 TB,,439000,house,6,,,https://www.funda.nl/koop/surhuizum/huis-83898214-it-noard-2/,1935
Skoallepaad 1,,,Drogeham,9289 HA,,276000,house,5,,,https://www.funda.nl/koop/drogeham/huis-85513146-skoallepaad-1/,2004
De Resken 1,,,Twijzelerheide,9287 NW,,219000,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-48887354-de-resken-1/,1980
Casimirstrjitte 27,,,Kootstertille,9288 BN,,129000,house,5,,,https://www.funda.nl/koop/kootstertille/huis-86038286-casimirstrjitte-27/,1971
Earme Trije 7,,,Buitenpost,9285 JC,,299000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86909555-earme-trije-7/,2010
Klaarkamp 4,,,Gerkesklooster,9873 RH,,99000,house,4,,,https://www.funda.nl/koop/gerkesklooster/huis-86116187-klaarkamp-4/,1972
Concourslaan 30,,,Buitenpost,9285 SH,,174500,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86221717-concourslaan-30/,1973
Mejontsmastraat 19,,,Buitenpost,9285 RD,,225000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86228125-mejontsmastraat-19/,1968
Ruiterstraat 15,,,Buitenpost,9285 RW,,147500,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86238976-ruiterstraat-15/,1971
Tillebuorren 28,,,Kootstertille,9288 AP,,99000,house,4,,,https://www.funda.nl/koop/kootstertille/huis-40733875-tillebuorren-28/,1925
It Heideloantsje 16 A,,,Twijzelerheide,9287 HC,,485000,house,8,,,https://www.funda.nl/koop/twijzelerheide/huis-40606266-it-heideloantsje-16-a/,2012
Boelenswei 50,,,Boelenslaan,9233 KD,,219000,house,5,,,https://www.funda.nl/koop/boelenslaan/huis-40698761-boelenswei-50/,1931
Ike Buorren,,,Drogeham,9289 HP,,158000,apartment,3,,,https://www.funda.nl/koop/drogeham/appartement-85509191-ike-buorren/,2017
De Dellen,,,Surhuisterveen,9231 EC,,255000,house,4,,,https://www.funda.nl/koop/surhuisterveen/huis-49347689-de-dellen/,2017
Homear 34,,,Harkema,9281 LP,,280000,house,6,,,https://www.funda.nl/koop/harkema/huis-85059822-homear-34/,1967
