address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Koningsmantel 5,,,Alphen-aan-den-Rijn,2403 HZ,,260000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40894585-koningsmantel-5/,1976
P. Mondriaanlaan 9,,,Alphen-aan-den-Rijn,2408 DG,,575000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40717092-p-mondriaanlaan-9/,2005
Preludeweg 460,,,Alphen-aan-den-Rijn,2402 HP,,185000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40882741-preludeweg-460/,1972
Aïdaplein 136,,,Alphen-aan-den-Rijn,2402 TK,,175000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40883269-aidaplein-136/,1970
Burgemeester den Hollanderweg 17,,,Hazerswoude,2391 MC,,1225000,house,10,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-40625961-burgemeester-den-hollanderweg-17/,1991
Vondelstraat 39,,,Alphen-aan-den-Rijn,2406 XG,,349500,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40875516-vondelstraat-39/,1939
Goudse Rijpad 3,,,Alphen-aan-den-Rijn,2407 BN,,945000,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40535975-goudse-rijpad-3/,1800
Hooftstraat 283 B,,,Alphen-aan-den-Rijn,2406 GK,,425000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40894849-hooftstraat-283-b/,1999
Witte de Withstraat 63,,,Alphen-aan-den-Rijn,2405 VD,,185000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40899573-witte-de-withstraat-63/,1955
Van Boetzelaerstraat 76,,,Alphen-aan-den-Rijn,2406 BG,,525000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40730745-van-boetzelaerstraat-76/,1927
Saffierstraat 162,,,Alphen-aan-den-Rijn,2403 XZ,,247500,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40897379-saffierstraat-162/,1964
Emmalaan 37,,,Alphen-aan-den-Rijn,2405 GA,,295000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40860229-emmalaan-37/,1937
Kruiskruid 29,,,Boskoop,2771 RB,,235000,house,4,,,https://www.funda.nl/koop/boskoop/huis-86253109-kruiskruid-29/,1975
Anna van Burenlaan 2,,,Alphen-aan-den-Rijn,2404 GM,,375000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86904349-anna-van-burenlaan-2/,1964
Sterkenburg 3,,,Alphen-aan-den-Rijn,2402 RD,,225000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86258048-sterkenburg-3/,1979
Zadelmaker 4,,,Alphen-aan-den-Rijn,2401 PG,,259000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40864711-zadelmaker-4/,1985
Argostraat 86,,,Alphen-aan-den-Rijn,2402 CA,,147500,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40859813-argostraat-86/,1969
Tsarenhof 123,,,Alphen-aan-den-Rijn,2402 DS,,187500,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40854495-tsarenhof-123/,1989
